,User,Tweet Data,Date,Compound Score,Positive Score,Neutral Score,Negative Score,Tweets Ago
68,BBC News (World),"What will President Trump's national security strategy mean for the world? 
National Security Adviser HR McMaster s… https://t.co/ezVKwvMoCi",Mon Dec 18 22:41:49 +0000 2017,0.5859,0.231,0.769,0.0,32
69,BBC News (World),"RT @awzurcher: If Trump tries to fire Mueller, here are some of the ways the president’s supporters will try to justify it. https://t.co/3u…",Mon Dec 18 22:35:14 +0000 2017,0.128,0.11,0.798,0.091,31
70,BBC News (World),Matthew Petersen: Test-flunking Trump judge nominee withdraws https://t.co/rcCYHmTwAS,Mon Dec 18 21:57:07 +0000 2017,0.0,0.0,1.0,0.0,30
71,BBC News (World),Amtrak Washington train crash: Aerial footage of the scene https://t.co/meNJ6ioM2u,Mon Dec 18 20:42:15 +0000 2017,-0.4019,0.0,0.769,0.231,29
72,BBC News (World),Crowd justice https://t.co/6jjtl0ToIN,Mon Dec 18 20:09:48 +0000 2017,0.5267,0.63,0.37,0.0,28
73,BBC News (World),Jerusalem: US vetoes UN resolution rejecting Trump's declaration https://t.co/fxjGDD0sKX,Mon Dec 18 19:59:43 +0000 2017,-0.4588,0.0,0.727,0.273,27
74,BBC News (World),"President Trump unveils the new US national security strategy, saying: ""We are engaged in a new era of competition""… https://t.co/L8iChxYpG8",Mon Dec 18 19:31:55 +0000 2017,0.6249,0.231,0.769,0.0,26
75,BBC News (World),RT @KattyKayBBC: So far it's the tone not the actual policy that's strikingly different in this speech,Mon Dec 18 19:26:28 +0000 2017,0.0,0.0,1.0,0.0,25
76,BBC News (World),"RT @BBCJonSopel: .@realDonaldTrump  and he promises to 'stand up for our country in a way that we've never stood up before.""",Mon Dec 18 19:25:49 +0000 2017,0.3818,0.12,0.88,0.0,24
77,BBC News (World),"RT @BBCJonSopel: .@realDonaldTrump says the US will attempt to build a great partnership with Russia and China, ""but in a way that protects…",Mon Dec 18 19:25:24 +0000 2017,0.3716,0.113,0.887,0.0,23
78,BBC News (World),RT @BBCJonSopel: .@realDonaldTrump on North Korea - it will be taken care of; we have no choice - but blames predecessors for failing when…,Mon Dec 18 19:18:40 +0000 2017,-0.8176,0.071,0.606,0.323,22
79,BBC News (World),RT @KattyKayBBC: Getting NATO members to move towards 2% of GDP for defence is something many member countries also appreciate.,Mon Dec 18 19:18:33 +0000 2017,0.4767,0.186,0.814,0.0,21
80,BBC News (World),"RT @BBCJonSopel: .@realDonaldTrump  ""we have dealt ISIS one devastating defeat after another.""",Mon Dec 18 19:18:23 +0000 2017,-0.8074,0.0,0.578,0.422,20
81,BBC News (World),RT @KattyKayBBC: This sounds like the foreign policy equivalent of American carnage.,Mon Dec 18 19:18:16 +0000 2017,0.3612,0.185,0.815,0.0,19
82,BBC News (World),"RT @BBCJonSopel: .@realDonaldTrump starts by condemning the failures of his predecessors. ""They undercut and short changed our men and wome…",Mon Dec 18 19:18:08 +0000 2017,-0.4588,0.0,0.864,0.136,18
